fy,source_row,eff_date,post_date,src,src_meaning,period,journal,ref1,po_ref2,ref3,reference,amount,running_balance_derived,check_no,warrant,voucher,vendor,comments
2026,61,2025-09-11,2026-01-06,CRP,cash receipts posting,3,1260,T145,1035180,MISC RCPTS,,3070.80,132851.09,0,,,ATHLETIC DEPT/COURTNEY FULLER,CHAPTER 658 ATHLETIC ACTIVITY
2026,64,2025-09-19,2025-09-17,PRJ,payroll journal,3,218,,,,,-4021.36,128829.73,0,,,,
2026,60,2025-09-25,2026-01-06,CRP,cash receipts posting,3,1325,T145,1036173,MISC RCPTS,,2760.00,131589.73,0,,,ATHLETIC DEPT FEES/COURTNEY FULLER,CHAPTER 658 ATHLETIC ACTIVITY
2026,63,2025-09-30,2025-10-01,APP,accounts payable — warrant disbursement,3,499,15 26,,,15 26,-21500.00,110089.73,0,,,,
2026,59,2025-09-30,2026-01-06,CRP,cash receipts posting,3,1350,T145,,AUG25/REVFEE,,-1208.41,108881.32,0,,,,CHAPTER 658 ATHLETIC ACTIVITY
2026,58,2025-09-30,2026-01-06,CRP,cash receipts posting,3,1351,T145,,SEP25/REVTRA,,15769.53,124650.85,0,,,,CHAPTER 658 ATHLETIC ACTIVITY
2026,53,2025-10-02,2026-01-06,CRP,cash receipts posting,4,1030,T145,1036541,MISC RCPTS,,2399.00,127049.85,0,,,ATHLETIC DEPT/COURTNEY FULLER,CHAPTER 658 ATHLETIC ACTIVITY
2026,57,2025-10-03,2025-10-01,PRJ,payroll journal,4,2,,,,,-939.36,126110.49,0,,,,
2026,52,2025-10-15,2026-01-06,CRP,cash receipts posting,4,1092,T145,1037216,MISC RCPTS,,2360.30,128470.79,0,,,ATHLETIC DEPT/COURTNEY FULLER,CHAPTER 658 ATHLETIC ACTIVITY
2026,56,2025-10-17,2025-10-15,PRJ,payroll journal,4,174,,,,,-939.36,127531.43,0,,,,
2026,51,2025-10-23,2026-01-06,CRP,cash receipts posting,4,1127,T145,1037650,MISC RCPTS,,791.00,128322.43,0,,,ATHLETIC DEPT/COURTNEY FULLER,CHAPTER 658 ATHLETIC ACTIVITY
2026,54,2025-10-29,2025-10-29,APP,accounts payable — warrant disbursement,4,324,19 26,,,19 26,-9000.00,119322.43,0,,,,
2026,50,2025-10-30,2026-01-06,CRP,cash receipts posting,4,1166,T145,,SEP25/REVFEE,,-654.57,118667.86,0,,,,CHAPTER 658 ATHLETIC ACTIVITY
2026,49,2025-10-30,2026-01-06,CRP,cash receipts posting,4,1167,T145,,OCT25REVTRAK,,2782.00,121449.86,0,,,,CHAPTER 658 ATHLETIC ACTIVITY
2026,55,2025-10-31,2025-10-29,PRJ,payroll journal,4,322,,,,,-3287.36,118162.50,0,,,,
2026,48,2025-11-12,2025-11-17,APP,accounts payable — warrant disbursement,5,127,21 26,,,21 26,-738.40,117424.10,0,,,,
2026,47,2025-11-17,2025-11-17,PRJ,payroll journal,5,129,,,,,-939.36,116484.74,0,,,,
2026,45,2025-11-17,2026-01-06,CRP,cash receipts posting,5,942,T145,1043571,MISC RCPTS,,4331.71,120816.45,0,,,ATHLETIC FEES/COURTNEY FULLER,CHAPTER 658 ATHLETIC ACTIVITY
2026,44,2025-11-20,2026-01-06,CRP,cash receipts posting,5,960,T145,1043839,MISC RCPTS,,2411.00,123227.45,0,,,ATHLETIC DEPT/COURTNEY FULLER,CHAPTER 658 ATHLETIC ACTIVITY
2026,43,2025-11-26,2026-03-04,CRP,cash receipts posting,5,1285,T145,,OCT25REVFEE,,-95.31,123132.14,0,,,,CHAPTER 658 ATHLETIC ACTIVITY
2026,42,2025-11-26,2026-03-04,CRP,cash receipts posting,5,1288,T145,,NOV25/REVTRA,,20340.07,143472.21,0,,,,CHAPTER 658 ATHLETIC ACTIVITY
2026,46,2025-11-28,2025-11-26,PRJ,payroll journal,5,338,,,,,-5703.36,137768.85,0,,,,
2026,36,2025-12-04,2026-03-04,CRP,cash receipts posting,6,1043,T145,1044521,MISC RCPTS,,3015.00,140783.85,0,,,ATHLETIC DEPT/COURTNEY FULLER,CHAPTER 658 ATHLETIC ACTIVITY
2026,41,2025-12-09,2025-12-10,APP,accounts payable — warrant disbursement,6,142,25 26,,,25 26,-2047.50,138736.35,0,,,,
2026,40,2025-12-12,2025-12-10,PRJ,payroll journal,6,143,,,,,-840.48,137895.87,0,,,,
2026,35,2025-12-22,2026-03-04,CRP,cash receipts posting,6,1116,T145,1045518,MISC RCPT,,3748.32,141644.19,0,,,VARIOUS ATHLETIC CH658 PAYMENTS PER COURTNEY,CHAPTER 658 ATHLETIC ACTIVITY
2026,39,2025-12-26,2025-12-23,PRJ,payroll journal,6,321,,,,,-939.36,140704.83,0,,,,
2026,38,2025-12-26,2025-12-23,PRJ,payroll journal,6,336,,,,,-939.36,139765.47,0,,,,
2026,37,2025-12-26,2025-12-23,GRV,general journal reversal / correction,6,344,,,,2606000336,939.36,140704.83,0,,,,Duplicate
2026,34,2025-12-31,2026-03-04,CRP,cash receipts posting,6,1159,T145,,,,-753.12,139951.71,0,,,,CHAPTER 658 ATHLETIC ACTIVITY
2026,33,2025-12-31,2026-03-04,CRP,cash receipts posting,6,1160,T145,,DEC25/REVTRA,,10138.68,150090.39,0,,,,CHAPTER 658 ATHLETIC ACTIVITY
2026,32,2026-01-09,2026-01-07,PRJ,payroll journal,7,64,,,,,-939.36,149151.03,0,,,,
2026,30,2026-01-22,2026-01-22,APP,accounts payable — warrant disbursement,7,261,33 26,,,33 26,-9900.00,139251.03,0,,,,
2026,31,2026-01-23,2026-01-21,PRJ,payroll journal,7,211,,,,,-939.36,138311.67,0,,,,
2026,29,2026-01-29,2026-05-17,CRP,cash receipts posting,7,756,T145,1048291,MISC RCPTS,,5610.00,143921.67,0,,,ATHLETIC DEPT/COURTNEY FULLER,CHAPTER 658 ATHLETIC ACTIVITY
2026,28,2026-01-29,2026-05-17,CRP,cash receipts posting,7,770,T145,,DEC25/REVFEES,,-437.49,143484.18,0,,,,CHAPTER 658 ATHLETIC ACTIVITY
2026,27,2026-01-29,2026-05-17,CRP,cash receipts posting,7,771,T145,,JAN26/REVTRAK,,5499.36,148983.54,0,,,,CHAPTER 658 ATHLETIC ACTIVITY
2026,26,2026-02-06,2026-02-04,PRJ,payroll journal,8,19,,,,,-914.64,148068.90,0,,,,
2026,25,2026-02-20,2026-02-18,PRJ,payroll journal,8,228,,,,,-939.36,147129.54,0,,,,
2026,24,2026-02-24,2026-02-24,APP,accounts payable — warrant disbursement,8,337,38 26,,,38 26,-691.00,146438.54,0,,,,
2026,23,2026-02-26,2026-05-18,CRP,cash receipts posting,8,601,T145,,FEB26/REVTRAK,,5158.83,151597.37,0,,,,CHAPTER 658 ATHLETIC ACTIVITY
2026,22,2026-02-26,2026-05-18,CRP,cash receipts posting,8,602,T145,,JAN26/REVFEE,,-219.99,151377.38,0,,,,CHAPTER 658 ATHLETIC ACTIVITY
2026,21,2026-03-06,2026-03-04,PRJ,payroll journal,9,28,,,,,-494.40,150882.98,0,,,,
2026,18,2026-03-09,2026-05-17,CRP,cash receipts posting,9,761,T145,1057103,MISC RCPTS,,808.61,151691.59,0,,,ATHLETIC DEPT/COURTNEY FULLER,CHAPTER 658 ATHLETIC ACTIVITY
2026,20,2026-03-10,2026-03-10,APP,accounts payable — warrant disbursement,9,145,40 26,,,40 26,-9900.00,141791.59,0,,,,
2026,19,2026-03-20,2026-03-18,PRJ,payroll journal,9,255,,,,,-939.36,140852.23,0,,,,
2026,17,2026-03-26,2026-05-18,CRP,cash receipts posting,9,823,T145,1063792,MISC RCPTS,,4274.12,145126.35,0,,,ATHLETIC DEPT/COURTNEY FULLER,CHAPTER 658 ATHLETIC ACTIVITY
2026,16,2026-03-31,2026-05-22,CRP,cash receipts posting,9,848,T145,,MAR26/REVTRAK,,25030.41,170156.76,0,,,,CHAPTER 658 ATHLETIC ACTIVITY
2026,15,2026-03-31,2026-05-22,CRP,cash receipts posting,9,850,T145,,FEB26/REVFEE,,-211.96,169944.80,0,,,,CHAPTER 658 ATHLETIC ACTIVITY
2026,13,2026-04-02,2026-04-02,APP,accounts payable — warrant disbursement,10,40,44 26,,,44 26,-9900.00,160044.80,0,,,,
2026,9,2026-04-02,2026-05-18,CRP,cash receipts posting,10,561,T145,1064500,ATHLETCH658,,3364.00,163408.80,0,,,APRIL2026 ATHLETIC CH658 DEP PER COURTNEY F,CHAPTER 658 ATHLETIC ACTIVITY
2026,14,2026-04-03,2026-03-31,PRJ,payroll journal,10,3,,,,,-865.20,162543.60,0,,,,
2026,8,2026-04-13,2026-05-22,CRP,cash receipts posting,10,619,T145,1072468,MISC RCPTS,,1240.00,163783.60,0,,,ATHLETIC DEPT/COURTNEY FULLER,CHAPTER 658 ATHLETIC ACTIVITY
2026,11,2026-04-15,2026-04-15,APP,accounts payable — warrant disbursement,10,265,48 26,,,48 26,-2361.20,161422.40,0,,,,
2026,7,2026-04-15,2026-05-22,CRP,cash receipts posting,10,657,T145,1065653,MISC RCPTS,,1653.54,163075.94,0,,,ATHLETIC DEPT/COURTNEY FULLER,CHAPTER 658 ATHLETIC ACTIVITY
2026,12,2026-04-17,2026-04-15,PRJ,payroll journal,10,239,,,,,-939.36,162136.58,0,,,,
2026,10,2026-04-28,2026-04-28,APP,accounts payable — warrant disbursement,10,463,50 26,,,50 26,-22597.00,139539.58,0,,,,
2026,5,2026-05-01,2026-05-14,PRJ,payroll journal,11,158,,,,,-568.56,138971.02,0,,,,
2026,4,2026-05-14,2026-05-14,APP,accounts payable — warrant disbursement,11,165,54 26,,,54 26,-4820.00,134151.02,0,,,,
2026,6,2026-05-15,2026-05-13,PRJ,payroll journal,11,134,,,,,-939.36,133211.66,0,,,,
2026,3,2026-05-29,2026-05-27,PRJ,payroll journal,11,430,,,,,-939.36,132272.30,0,,,,
2026,2,2026-06-12,2026-06-09,PRJ,payroll journal,12,160,,,,,-939.36,131332.94,0,,,,
