fy,page,order,post,kind,section,section_basis,stated_members,person,vacancies,term_expires,note,size_check
2018,11,91,CHARTER REVIEW COMMITTEE,officer,appointed,,,Mark Erickson- Finance Committee Representative,0,,,no check
2018,11,92,CHARTER REVIEW COMMITTEE,officer,appointed,,,Nancy Gray-Town Moderator Designee,0,,,no check
2018,11,93,CHARTER REVIEW COMMITTEE,officer,appointed,,,Tanner Cole- Planning Board Representative,0,,,no check
2018,11,94,CHARTER REVIEW COMMITTEE,officer,appointed,,,Jim LaVeck-School Committee Designee,0,,,no check
2018,11,95,CHARTER REVIEW COMMITTEE,officer,appointed,,,James Toale- Selectmen Representative,0,,,no check
2018,11,96,CONSERVATION COMMISSION,board seat,appointed,,,Richard Bursch,0,2020,,no check
2018,11,97,CONSERVATION COMMISSION,board seat,appointed,,,Catie Childs,0,2020,,no check
2018,11,98,CONSERVATION COMMISSION,board seat,appointed,,,Todd Dwyer,0,2019,,no check
2018,11,99,CONSERVATION COMMISSION,board seat,appointed,,,Kenneth Jones,0,2021,,no check
2018,11,100,CONSERVATION COMMISSION,board seat,appointed,,,Carl Luck,0,2021,,no check
2018,11,101,CONSERVATION COMMISSION,board seat,appointed,,,Bob Pease,0,2019,,no check
2018,11,102,CONSERVATION COMMISSION,board seat,appointed,,,John Rabbitt,0,2019,,no check
2018,11,103,CONSTABLE,officer,appointed,,,John Godek,0,,,no check
2018,11,104,CONSTABLE,officer,appointed,,,Kevin Rice,0,,,no check
2018,11,105,CONSTABLE,officer,appointed,,,Alan Herget,0,,,no check
2018,11,106,COUNCIL ON AGING,board seat,appointed,,,Elizabeth (Betty) DiGiacomo,0,2021,,no check
2018,11,107,COUNCIL ON AGING,board seat,appointed,,,Barbara Brown,0,2021,,no check
2018,11,108,COUNCIL ON AGING,board seat,appointed,,,Jacquelyn Dwyer,0,2019,,no check
2018,11,109,COUNCIL ON AGING,board seat,appointed,,,Sarah Grant,0,2020,,no check
2018,11,110,COUNCIL ON AGING,board seat,appointed,,,Jean Hobbs- Honorary Member,0,,,no check
2018,11,111,COUNCIL ON AGING,board seat,appointed,,,Debbie Lincoln,0,2021,,no check
2018,11,112,COUNCIL ON AGING,board seat,appointed,,,Pete Lincoln,0,2019,,no check
2018,11,113,COUNCIL ON AGING,board seat,appointed,,,Kevin McNally,0,2019,,no check
2018,11,114,COUNCIL ON AGING,board seat,appointed,,,Cheryl Moisan,0,2020,,no check
2018,11,115,COUNCIL ON AGING,board seat,appointed,,,Diane Nowd,0,2020,,no check
2018,11,116,COUNCIL ON AGING,board seat,appointed,,,Jane Rabbitt,0,2019,,no check
2018,11,117,COUNCIL ON AGING,board seat,appointed,,,Judith Tarbell,0,2019,,no check
2018,11,118,COUNCIL ON AGING DIRECTOR,officer,appointed,,,Susan Doherty,0,,,no check
2018,11,119,CULTURAL COUNCIL,board seat,appointed,,,Laura Brozozski,0,2021,,no check
2018,11,120,CULTURAL COUNCIL,board seat,appointed,,,Christopher Letarte,0,,Resigned September 2018,no check
2018,11,121,CULTURAL COUNCIL,board seat,appointed,,,Pete McCarron,0,2021,,no check
2018,11,122,CULTURAL COUNCIL,board seat,appointed,,,Laura Forde Kelly,0,2020,,no check
2018,11,123,CULTURAL COUNCIL,board seat,appointed,,,Minna Scholten,0,2020,,no check
2018,12,124,CULTURAL COUNCIL,board seat,appointed,,,Ashly Faherty,0,2021,,no check
2018,12,125,CULTURAL COUNCIL,board seat,appointed,,,Thia St. Martin,0,2021,,no check
2018,12,126,CULTURAL COUNCIL,board seat,appointed,,,Tyler Hathaway,0,2021,,no check
2018,12,127,CULTURAL COUNCIL,board seat,appointed,,,Jamie Merrill Blood,0,2021,,no check
2018,12,128,DAM KEEPER,officer,appointed,,,Ronald Wilson,0,,,no check
2018,12,129,ASSISTANT DAM KEEPER,officer,appointed,,,Richard Patry,0,,,no check
2018,12,130,ELECTION OFFICERS,officer,appointed,,,Warden: Janice P. Carrier (R);,0,,Resigned August 2018,no check
2018,12,131,ELECTION OFFICERS,officer,appointed,,,Deputy Warden: Michael Gale (R),0,,,no check
2018,12,132,FIRE CHIEF/ EMERGENCY MANAGEMENT DIRECTOR/ FOREST WARDEN,officer,appointed,,,Patrick Sullivan,0,,,no check
2018,12,133,FENCE VIEWERS,officer,appointed,,,,1,,Vacancies,no check
2018,12,134,FIELD DRIVER,officer,appointed,,,Kathleen Comeau,0,,,no check
2018,12,135,FINANCE COMMITTEE,board seat,appointed,,,Hannah Anderson,0,2019,,no check
2018,12,136,FINANCE COMMITTEE,board seat,appointed,,,Terese Burchfield,0,2021,,no check
2018,12,137,FINANCE COMMITTEE,board seat,appointed,,,John Henshaw,0,2019,,no check
2018,12,138,FINANCE COMMITTEE,board seat,appointed,,,Marc Luescher,0,2020,,no check
2018,12,139,FINANCE COMMITTEE,board seat,appointed,,,George Martin,0,2019,,no check
2018,12,140,FINANCE COMMITTEE,board seat,appointed,,,Jay Simeone,0,2020,,no check
2018,12,141,FINANCE COMMITTEE,board seat,appointed,,,Michelle Walton,0,2021,,no check
2018,12,142,GREEN COMMUNITY TASK FORCE,officer,appointed,,,David Blatt,0,,,no check
2018,12,143,GREEN COMMUNITY TASK FORCE,officer,appointed,,,Greg Bittner,0,,,no check
2018,12,144,GREEN COMMUNITY TASK FORCE,officer,appointed,,,Michael Conway,0,,,no check
2018,12,145,GCTF ADVISORS,officer,appointed,,,"Adam Burney, Land Use Director",0,,,no check
2018,12,146,GCTF ADVISORS,officer,appointed,,,"James Breault, DPW",0,,Retired 2018,no check
2018,12,147,GCTF ADVISORS,officer,appointed,,,"John Londa, Director of Facilities & Grounds",0,,,no check
2018,12,148,GCTF ADVISORS,officer,appointed,,,Zachary Cutting,0,,,no check
2018,12,149,GCTF ADVISORS,officer,appointed,,,Elizabeth Murphy,0,,,no check
2018,12,150,GCTF ADVISORS,officer,appointed,,,Neal Sullivan,0,,,no check
2018,12,151,HAZARDOUS WASTE COORDINATOR,officer,appointed,,,Heather Lemieux,0,,,no check
2018,12,152,HEARINGS OFFICER,officer,appointed,,,Heather Lemieux,0,,,no check
2018,12,153,HISTORICAL COMMISSION,board seat,appointed,,,Cullen Dwyer,0,2020,,no check
2018,12,154,HISTORICAL COMMISSION,board seat,appointed,,,Rebecca Lantry,0,2021,,no check
2018,12,155,HISTORICAL COMMISSION,board seat,appointed,,,Jennifer Sanderson,0,2020,,no check
2018,12,156,HISTORICAL COMMISSION,board seat,appointed,,,Richard McGrath,0,2021,,no check
2018,12,157,HISTORICAL COMMISSION,board seat,appointed,,,William Lakso,0,2021,,no check
2018,13,158,INSPECTOR OF PLUMBING & GAS FITTINGS,officer,appointed,,,Gary Williams,0,,,no check
2018,13,159,ASST. INSPECTOR OF PLUMBING/GAS,officer,appointed,,,Richard Kapenas,0,,,no check
2018,13,160,INSPECTOR OF WEIGHTS & MEASURES,officer,appointed,,,Stephen E. Cullinane,0,,,no check
2018,13,161,INSPECTOR OF WIRING,officer,appointed,,,John Biery,0,,,no check
2018,13,162,ASST. INSPECTOR OF WIRING,officer,appointed,,,David Stone,0,,,no check
2018,13,163,LOCAL CENSUS LIAISON,officer,appointed,,,"Kathyrn M. Herrick, Town Clerk",0,,,no check
2018,13,164,MART ADVISORY BOARD,officer,appointed,,,Phyllis Luck,0,,,no check
2018,13,165,MONTACHUSETT JOINT TRANSPORTATION COMMITTEE,officer,appointed,,,Kenneth Chenis- Planning Board Representative,0,,,no check
2018,13,166,MONTACHUSETT JOINT TRANSPORTATION COMMITTEE,officer,appointed,,,Michael Ray-Jeffreys- Selectmen Representative,0,,,no check
2018,13,167,MONTACHUSETT JOINT TRANSPORTATION COMMITTEE,officer,appointed,,,MONTACHUSETT METROPOLITAN PLANNING ORGANIZATION-Subregion 3,0,,,no check
2018,13,168,MONTACHUSETT JOINT TRANSPORTATION COMMITTEE,officer,appointed,,,Paula Bertram,0,,,no check
2018,13,169,MONTACHUSETT REGIONAL PLANNING COMMISSION,officer,appointed,,,David Prokowiew-Planning Board Representative,0,,,no check
2018,13,170,MONTACHUSETT REGIONAL PLANNING COMMISSION,officer,appointed,,,Michael Ray-Jeffreys- Selectmen Representative,0,,,no check
2018,13,171,MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL COMMITTEE,officer,appointed,,,Barbara Reynolds,0,,"term ends June 30, 2019",no check
2018,13,172,PERSONNEL COMMITTEE,board seat,appointed,,,Erik Arnold,0,2020,,no check
2018,13,173,PERSONNEL COMMITTEE,board seat,appointed,,,Scott Chase,0,2020,,no check
2018,13,174,PERSONNEL COMMITTEE,board seat,appointed,,,David MacDonald,0,2019,,no check
2018,13,175,PERSONNEL COMMITTEE,board seat,appointed,,,Nancy Forest- Town Employee Representative,0,,,no check
2018,13,176,POLICE CHIEF,officer,appointed,,,James Marino,0,,,no check
2018,13,177,POUND KEEPER,officer,appointed,,,Jean Larkin,0,,,no check
2018,13,178,PUBLIC ACCESS CABLE COMMITTEE,board seat,appointed,,,Jeffrey Bajko,0,2020,,no check
2018,13,179,PUBLIC ACCESS CABLE COMMITTEE,board seat,appointed,,,Faith Beall,0,2021,,no check
2018,13,180,PUBLIC ACCESS CABLE COMMITTEE,board seat,appointed,,,Stephen Walker,0,2020,,no check
2018,13,181,PUBLIC ACCESS CABLE COMMITTEE,board seat,appointed,,,Steve Archambault,0,2021,,no check
2018,13,182,PUBLIC ACCESS CABLE COMMITTEE,board seat,appointed,,,Pete Lincoln,0,2021,,no check
2018,14,183,PUBLIC RECORDS ACCESS OFFICERS,officer,appointed,,,General Requests- Heather Lemieux- Records Access Officer Supervisor,0,,,no check
2018,14,184,PUBLIC RECORDS ACCESS OFFICERS,officer,appointed,,,Police Dept. - Lt. Michael Luth,0,,,no check
2018,14,185,PUBLIC RECORDS ACCESS OFFICERS,officer,appointed,,,"Fire Dept. -Karen Weller, Admin. Asst./EMS Coordinator",0,,,no check
2018,14,186,PUBLIC RECORDS ACCESS OFFICERS,officer,appointed,,,PUBLIC WEIGHERS (for P.J. Keating Co.),0,,,no check
2018,14,187,PUBLIC RECORDS ACCESS OFFICERS,officer,appointed,,,Brian Contois,0,,,no check
2018,14,188,PUBLIC RECORDS ACCESS OFFICERS,officer,appointed,,,Eric Morin,0,,,no check
2018,14,189,PUBLIC RECORDS ACCESS OFFICERS,officer,appointed,,,Jennifer Oliveira,0,,,no check
2018,14,190,PUBLIC RECORDS ACCESS OFFICERS,officer,appointed,,,Richard Reynolds,0,,,no check
2018,14,191,PUBLIC RECORDS ACCESS OFFICERS,officer,appointed,,,Michael Reynolds,0,,,no check
2018,14,192,PUBLIC RECORDS ACCESS OFFICERS,officer,appointed,,,Jay Vallierre,0,,,no check
2018,14,193,PUBLIC RECORDS ACCESS OFFICERS,officer,appointed,,,Britany Woodhouse,0,,,no check
2018,14,194,PUBLIC RECORDS ACCESS OFFICERS,officer,appointed,,,RACES CONTROL OPERATOR (Radio Amateur Civil Emergency Service),0,,,no check
2018,14,195,PUBLIC RECORDS ACCESS OFFICERS,officer,appointed,,,Ralph Swick,0,,,no check
2018,14,196,PUBLIC RECORDS ACCESS OFFICERS,officer,appointed,,,Brian L. LeBlanc- Asst. Radio Operator,0,,,no check
2018,14,197,PUBLIC RECORDS ACCESS OFFICERS,officer,appointed,,,"Jean Swick, Member",0,,,no check
2018,14,198,TAXATION AID COMMITTEE,officer,appointed,,,Sheila Craigen- Assessors' Principal Clerk,0,,,no check
2018,14,199,TAXATION AID COMMITTEE,officer,appointed,,,Susan Doherty- Council on Aging Director,0,,,no check
2018,14,200,TAXATION AID COMMITTEE,officer,appointed,,,Nancy Forest-Human Resources/Payroll Coordinator,0,,,no check
2018,14,201,TAXATION AID COMMITTEE,officer,appointed,,,Myleen Mallari- Treasurer/Collector,0,,,no check
2018,14,202,TAXATION AID COMMITTEE,officer,appointed,,,Robert Hamel,0,,,no check
2018,14,203,STORM WATER TASK FORCE,officer,appointed,,,Matthew Allison- Planning Board Representative,0,,,no check
2018,14,204,STORM WATER TASK FORCE,officer,appointed,,,John Rabbitt- Conservation Commission Representative,0,,,no check
2018,14,205,STORM WATER TASK FORCE,officer,appointed,,,Jack Rodriquenz-DPW Director,0,,,no check
2018,14,206,STORM WATER TASK FORCE,officer,appointed,,,Phyllis Luck- Selectman,0,,,no check
2018,14,207,TAX CUSTODIAN,officer,appointed,,,Myleen Mallari,0,,,no check
2018,14,208,TOWN COUNSEL,officer,appointed,,,"Mead Talerman Costa, LLC",0,,,no check
2018,14,209,TOWN CLOCK WINDERS,officer,appointed,,,Joseph (AI) Dettenrieder,0,,Resigned June 2018,no check
2018,14,210,TOWN CLOCK WINDERS,officer,appointed,,,Lou Franco,0,,,no check
2018,14,211,TOWN CLOCK WINDERS,officer,appointed,,,Michael Kidney,0,,,no check
2018,14,212,TOWN CLOCK WINDERS,officer,appointed,,,John Lynch,0,,,no check
2018,14,213,TOWN CLOCK WINDERS,officer,appointed,,,George Martin,0,,,no check
2018,14,214,TOWN CLOCK WINDERS,officer,appointed,,,Tom Alonzo,0,,,no check
2018,14,215,TOWN CLOCK WINDERS,officer,appointed,,,William Tyler,0,,,no check
2018,15,216,TOWN FOREST COMMITTEE,officer,appointed,,,Richard Bursch,0,,,no check
2018,15,217,TREE WARDEN,officer,appointed,,,Jack Rodriquenz,0,,,no check
2018,15,218,VETERANS SERVICES AGENT,officer,appointed,,,T. J. Blauser,0,,,no check
2018,15,219,WELLNESS COORDINATOR,officer,appointed,,,Lisa Normandin,0,,,no check
2018,15,220,ZONING BOARD OF APPEALS,board seat,appointed,,,James Besarkarski,0,2021,,no check
2018,15,221,ZONING BOARD OF APPEALS,board seat,appointed,,,Robert Cadle,0,,Resigned August 2018,no check
2018,15,222,ZONING BOARD OF APPEALS,board seat,appointed,,,Paul Doherty,0,2022,,no check
2018,15,223,ZONING BOARD OF APPEALS,board seat,appointed,,,Alfred Gravelle,0,2020,,no check
2018,15,224,ZONING BOARD OF APPEALS,board seat,appointed,,,Hans Wentrup,0,2021,,no check
2018,15,225,ZONING BOARD OF APPEALS,board seat,appointed,,,David Blatt,0,2022,,no check
2018,15,226,ZBA ASSOCIATES,officer,appointed,,,Patrick Callahan,0,2021,,no check
2019,12,1,Board of Health,board seat,elected,carried from a year whose pages carry the header,5,George Emond Jr.,0,2022,,checked
2019,12,2,Board of Health,board seat,elected,carried from a year whose pages carry the header,5,Paul J. Fortin,0,2020,,checked
2019,12,3,Board of Health,board seat,elected,carried from a year whose pages carry the header,5,Perry R. Jewell,0,2020,,checked
2019,12,4,Board of Health,board seat,elected,carried from a year whose pages carry the header,5,Walter Mayhew Jr.,0,2021,,checked
2019,12,5,Board of Health,board seat,elected,carried from a year whose pages carry the header,5,David M. Passios,0,2021,,checked
2019,12,6,Board of Selectmen,board seat,elected,carried from a year whose pages carry the header,,Katey Adams,0,2021,,no check
2019,12,7,Board of Selectmen,board seat,elected,carried from a year whose pages carry the header,,Thomas A. Alonzo,0,2022,,no check
2019,12,8,Board of Selectmen,board seat,elected,carried from a year whose pages carry the header,,Michael-Ray Jeffreys,0,2022,,no check
2019,12,9,Board of Selectmen,board seat,elected,carried from a year whose pages carry the header,,Phyllis M. Luck,0,2020,,no check
2019,12,10,Board of Selectmen,board seat,elected,carried from a year whose pages carry the header,,Damon McQuaid,0,2020,,no check
2019,12,11,Cemetery Commission,board seat,elected,carried from a year whose pages carry the header,,Lorraine Mendoza,0,2021,,no check
2019,12,12,Cemetery Commission,board seat,elected,carried from a year whose pages carry the header,,William Tyler,0,2020,,no check
2019,12,13,Cemetery Commission,board seat,elected,carried from a year whose pages carry the header,,Nancy Foss Yasko,0,2022,,no check
2019,12,14,Constable,board seat,elected,carried from a year whose pages carry the header,,John E. Baker,0,2022,,no check
2019,12,15,Housing Authority,board seat,elected,carried from a year whose pages carry the header,5,Deborah A. H. Christen,0,,,checked
2019,12,16,Housing Authority,board seat,elected,carried from a year whose pages carry the header,5,Paul J. Doherty,0,2020,,checked
2019,12,17,Housing Authority,board seat,elected,carried from a year whose pages carry the header,5,Linda M. McDonald,0,2021,,checked
2019,12,18,Housing Authority,board seat,elected,carried from a year whose pages carry the header,5,State Appointee- Karin Menard,0,2021,,checked
2019,12,19,Housing Authority,board seat,elected,carried from a year whose pages carry the header,5,,1,,1 Vacancy due to Failure to Elect,checked
2019,12,20,Library Trustees,board seat,elected,carried from a year whose pages carry the header,,Robert Conroy,0,2021,,no check
2019,12,21,Library Trustees,board seat,elected,carried from a year whose pages carry the header,,Harry Kubetz,0,2020,,no check
2019,12,22,Library Trustees,board seat,elected,carried from a year whose pages carry the header,,Richard N. Mailloux,0,2022,,no check
2019,12,23,Library Trustees,board seat,elected,carried from a year whose pages carry the header,,Kathleen McCarron,0,2020,,no check
2019,12,24,Library Trustees,board seat,elected,carried from a year whose pages carry the header,,Donna Saiia,0,2022,,no check
2019,12,25,Library Trustees,board seat,elected,carried from a year whose pages carry the header,,Lars H. Widstrand,0,2021,,no check
2019,12,26,Library Trustees,board seat,elected,carried from a year whose pages carry the header,,Maia Wentrup,0,2021,,no check
2019,12,27,Moderator,board seat,elected,carried from a year whose pages carry the header,,Timothy W. Murphy,0,2021,,no check
2019,13,28,School Committee,board seat,elected,carried from a year whose pages carry the header,,Carol Archambeault,0,2022,,no check
2019,13,29,School Committee,board seat,elected,carried from a year whose pages carry the header,,Wendy Bertrand,0,2021,,no check
2019,13,30,School Committee,board seat,elected,carried from a year whose pages carry the header,,James LaVeck II,0,2020,,no check
2019,13,31,School Committee,board seat,elected,carried from a year whose pages carry the header,,Brian Lehtinen,0,2022,,no check
2019,13,32,School Committee,board seat,elected,carried from a year whose pages carry the header,,Heather Sroka,0,2020,,no check
2019,13,33,Sewer Commission - 1/2,board seat,elected,carried from a year whose pages carry the header,,Joseph Anderson-2020,0,,Resigned June 2019,no check
2019,13,34,Sewer Commission - 1/2,board seat,elected,carried from a year whose pages carry the header,,Carl Luck,0,2022,,no check
2019,13,35,Sewer Commission - 1/2,board seat,elected,carried from a year whose pages carry the header,,Joan Pease,0,2020,,no check
2019,13,36,Sewer Commission - 1/2,board seat,elected,carried from a year whose pages carry the header,,John Reynolds,0,2022,,no check
2019,13,37,Sewer Commission - 1/2,board seat,elected,carried from a year whose pages carry the header,,Ryan Stober,0,2021,,no check
2019,13,38,Town Clerk,board seat,elected,carried from a year whose pages carry the header,,Kathyrn M. Herrick,0,2022,,no check
2019,13,39,Trust Fund Commission,board seat,elected,carried from a year whose pages carry the header,,Cathy Hennessy,0,2021,,no check
2019,13,40,Trust Fund Commission,board seat,elected,carried from a year whose pages carry the header,,Robert Herrick,0,2022,,no check
2019,13,41,Trust Fund Commission,board seat,elected,carried from a year whose pages carry the header,,Karen Ullo,0,2020,,no check
2019,14,42,4VLV,officer,,,,,1,,1 Vacancy,no check
2019,14,43,4VLV,officer,,,,Two Alternate Vacancies,0,,,no check
2019,14,44,AMERICANS WITH DISABILITIES COMMITTEE,board seat,appointed,carried from a year whose pages carry the header,,Katey Adams- Board of Selectmen Representative,0,,,no check
2019,14,45,John Palumbo-Member at Large,board seat,,,,Barbara Reynolds-Member at Large,0,,,no check
2019,14,46,John Palumbo-Member at Large,board seat,,,,Carolyn Rossi,0,,,no check
2019,14,47,John Palumbo-Member at Large,board seat,,,,,1,,1 Vacancy,no check
2019,14,48,ANIMAL CONTROL OFFICER,officer,appointed,carried from a year whose pages carry the header,,Kathleen M. Comeau,0,,,no check
2019,14,49,ANIMAL CONTROL OFFICER,officer,appointed,carried from a year whose pages carry the header,,Kathleen M. Comeau,0,,,no check
2019,14,50,ARCHITECTURAL PRESERVATION DISTRICT COMMISSION (APDC),board seat,appointed,carried from a year whose pages carry the header,,Brian Corcoran,0,2021,,no check
2019,14,51,ARCHITECTURAL PRESERVATION DISTRICT COMMISSION (APDC),board seat,appointed,carried from a year whose pages carry the header,,Cullen Dwyer,0,2020,,no check
2019,14,52,ARCHITECTURAL PRESERVATION DISTRICT COMMISSION (APDC),board seat,appointed,carried from a year whose pages carry the header,,Jim La Veck,0,2020,,no check
2019,14,53,ARCHITECTURAL PRESERVATION DISTRICT COMMISSION (APDC),board seat,appointed,carried from a year whose pages carry the header,,Richard McGrath,0,2022,,no check
2019,14,54,ARCHITECTURAL PRESERVATION DISTRICT COMMISSION (APDC),board seat,appointed,carried from a year whose pages carry the header,,,1,,1 Vacancy,no check
2019,14,55,ASSISTANT TOWN CLERK,officer,appointed,carried from a year whose pages carry the header,,Ellen Griffin,0,,,no check
2019,14,56,ASSISTANT TOWN CLERK,officer,appointed,carried from a year whose pages carry the header,,Ruth Anderson,0,,,no check
2019,14,57,ASSISTANT TOWN CLERK,officer,appointed,carried from a year whose pages carry the header,,Kathryn M. Herrick- Town Clerk,0,,,no check
2019,14,58,ASSISTANT TOWN CLERK,officer,appointed,carried from a year whose pages carry the header,,Karen Kemp,0,2021,,no check
2019,14,59,ASSISTANT TOWN CLERK,officer,appointed,carried from a year whose pages carry the header,,Shirley McBride,0,,,no check
2019,14,60,BUILDING COMMISSIONER,officer,appointed,carried from a year whose pages carry the header,,Garry Rhodes,0,,,no check
2019,14,61,LOCAL BUILDING INSPECTOR,officer,appointed,carried from a year whose pages carry the header,,Donald Sarrar,0,,,no check
2019,14,62,CAPITAL PLANNING COMMITTEE,board seat,appointed,carried from a year whose pages carry the header,,Matthew Allison- Planning Board,0,,,no check
2019,14,63,CAPITAL PLANNING COMMITTEE,board seat,appointed,carried from a year whose pages carry the header,,Caroline Griffis- Member at Large,0,,,no check
2019,14,64,CAPITAL PLANNING COMMITTEE,board seat,appointed,carried from a year whose pages carry the header,,John Henshaw- Finance Committee,0,,,no check
2019,14,65,CAPITAL PLANNING COMMITTEE,board seat,appointed,carried from a year whose pages carry the header,,Heather Sroka- School Committee,0,,,no check
2019,14,66,CAPITAL PLANNING COMMITTEE,board seat,appointed,carried from a year whose pages carry the header,,Damon McQuaid- Board of Selectmen,0,,,no check
2019,14,67,CAPITAL PLANNING COMMITTEE,board seat,appointed,carried from a year whose pages carry the header,,"Heather Lemieux- Town Manager, Ex Officio",0,,,no check
2019,15,68,CONSERVATION COMMISSION,board seat,appointed,carried from a year whose pages carry the header,,Richard Bursch,0,2020,,no check
2019,15,69,CONSERVATION COMMISSION,board seat,appointed,carried from a year whose pages carry the header,,Catie Childs,0,2020,,no check
2019,15,70,CONSERVATION COMMISSION,board seat,appointed,carried from a year whose pages carry the header,,Todd Dwyer,0,2022,,no check
2019,15,71,CONSERVATION COMMISSION,board seat,appointed,carried from a year whose pages carry the header,,Kenneth Jones,0,2021,,no check
2019,15,72,CONSERVATION COMMISSION,board seat,appointed,carried from a year whose pages carry the header,,Carl Luck,0,2021,,no check
2019,15,73,CONSERVATION COMMISSION,board seat,appointed,carried from a year whose pages carry the header,,Bob Pease,0,2022,,no check
2019,15,74,CONSERVATION COMMISSION,board seat,appointed,carried from a year whose pages carry the header,,John Rabbitt,0,2022,,no check
2019,15,75,CONSTABLE,officer,appointed,carried from a year whose pages carry the header,,John Godek,0,,,no check
2019,15,76,CONSTABLE,officer,appointed,carried from a year whose pages carry the header,,Kevin Rice,0,,,no check
2019,15,77,CONSTABLE,officer,appointed,carried from a year whose pages carry the header,,Alan Herget,0,,,no check
2019,15,78,COUNCIL ON AGING,board seat,appointed,carried from a year whose pages carry the header,,Elizabeth (Betty) DiGiacomo,0,2021,,no check
2019,15,79,COUNCIL ON AGING,board seat,appointed,carried from a year whose pages carry the header,,Barbara Brown,0,2021,,no check
2019,15,80,COUNCIL ON AGING,board seat,appointed,carried from a year whose pages carry the header,,Sarah Grant,0,2020,,no check
2019,15,81,COUNCIL ON AGING,board seat,appointed,carried from a year whose pages carry the header,,Jean Hobbs- Honorary Member,0,,,no check
2019,15,82,COUNCIL ON AGING,board seat,appointed,carried from a year whose pages carry the header,,Debbie Lincoln,0,2021,,no check
2019,15,83,COUNCIL ON AGING,board seat,appointed,carried from a year whose pages carry the header,,Pete Lincoln,0,2022,,no check
2019,15,84,COUNCIL ON AGING,board seat,appointed,carried from a year whose pages carry the header,,Cheryl Moisan,0,2020,,no check
2019,15,85,COUNCIL ON AGING,board seat,appointed,carried from a year whose pages carry the header,,Diane Nowd,0,2020,,no check
2019,15,86,COUNCIL ON AGING,board seat,appointed,carried from a year whose pages carry the header,,Susan O'Sullivan,0,2022,,no check
2019,15,87,COUNCIL ON AGING,board seat,appointed,carried from a year whose pages carry the header,,John Pesent,0,2022,,no check
2019,15,88,COUNCIL ON AGING,board seat,appointed,carried from a year whose pages carry the header,,Jane Rabbitt,0,2022,,no check
2019,15,89,COUNCIL ON AGING,board seat,appointed,carried from a year whose pages carry the header,,Judith Tarbell,0,2022,,no check
2019,15,90,COUNCIL ON AGING DIRECTOR,officer,appointed,carried from a year whose pages carry the header,,Susan Doherty,0,,,no check
2019,15,91,CULTURAL COUNCIL,board seat,appointed,carried from a year whose pages carry the header,,Laura Brozozski,0,2021,,no check
2019,15,92,CULTURAL COUNCIL,board seat,appointed,carried from a year whose pages carry the header,,Pete McCarron,0,2021,,no check
2019,15,93,CULTURAL COUNCIL,board seat,appointed,carried from a year whose pages carry the header,,Laura Forde Kelly,0,2020,,no check
2019,15,94,CULTURAL COUNCIL,board seat,appointed,carried from a year whose pages carry the header,,Minna Scholten,0,2020,,no check
2019,16,95,DAM KEEPER,officer,appointed,carried from a year whose pages carry the header,,Ronald Wilson,0,,,no check
2019,16,96,ASSISTANT DAM KEEPER,officer,appointed,carried from a year whose pages carry the header,,Richard Patry,0,,,no check
2019,16,97,ELECTION OFFICERS,officer,appointed,carried from a year whose pages carry the header,,Warden:,0,,,no check
2019,16,98,ELECTION OFFICERS,officer,appointed,carried from a year whose pages carry the header,,Deputy Warden: Michael Gale (R),0,,,no check
2019,16,99,FIRE CHIEF/ EMERGENCY MANAGEMENT DIRECTOR/ FOREST WARDEN,officer,appointed,carried from a year whose pages carry the header,,Patrick Sullivan,0,,,no check
2019,16,100,FENCE VIEWERS,officer,appointed,carried from a year whose pages carry the header,,,1,,Vacancies,no check
2019,16,101,FIELD DRIVER,officer,appointed,carried from a year whose pages carry the header,,Kathleen Comeau,0,,,no check
2019,16,102,FINANCE COMMITTEE,board seat,appointed,carried from a year whose pages carry the header,,Hannah Anderson,0,,resigned June 2019,no check
2019,16,103,FINANCE COMMITTEE,board seat,appointed,carried from a year whose pages carry the header,,Peter Beardmore,0,2022,,no check
2019,16,104,FINANCE COMMITTEE,board seat,appointed,carried from a year whose pages carry the header,,Terese Burchfield,0,2021,,no check
2019,16,105,FINANCE COMMITTEE,board seat,appointed,carried from a year whose pages carry the header,,John Henshaw,0,2022,,no check
2019,16,106,FINANCE COMMITTEE,board seat,appointed,carried from a year whose pages carry the header,,Dave Passios,0,2022,,no check
2019,16,107,FINANCE COMMITTEE,board seat,appointed,carried from a year whose pages carry the header,,Jay Simeone,0,2020,,no check
2019,16,108,FINANCE COMMITTEE,board seat,appointed,carried from a year whose pages carry the header,,Michelle Walton,0,2021,,no check
2019,16,109,GREEN COMMUNITY TASK FORCE,officer,appointed,carried from a year whose pages carry the header,,David Blatt,0,,,no check
2019,16,110,GREEN COMMUNITY TASK FORCE,officer,appointed,carried from a year whose pages carry the header,,Elizabeth Murphy,0,,,no check
2019,16,111,GCTF ADVISORS,officer,appointed,carried from a year whose pages carry the header,,"Adam Burney, Land Use Director",0,,,no check
2019,16,112,GCTF ADVISORS,officer,appointed,carried from a year whose pages carry the header,,"John Londa, Director of Facilities & Grounds",0,,,no check
2019,16,113,GCTF ADVISORS,officer,appointed,carried from a year whose pages carry the header,,Neal Sullivan,0,,,no check
2019,16,114,HAZARDOUS WASTE COORDINATOR,officer,appointed,carried from a year whose pages carry the header,,Heather Lemieux,0,,,no check
