key,sha256,superseded_by,last_indexed_at,last_indexed_date,commit_subject,why
district-budget/docs/3-12-25-town-manager-s-budget.pdf,ee64717d3a8c454fa7aa5199f7e44694bbeb599a2aed1bf659a818ad7f9b5739,district-budget/docs/3-12-25-town-manager-39-s-budget.pdf,eb54c253,2026-09-17,"The boards page, compared and joined: the bar chart, how to join, the protocols, the repor","a duplicate: the same bytes are held under another key, so this object is a rename the bucket could not take back"
district-budget/docs/budget-hearing-fy22-superintendent-s-recommended-budget.pdf,6c916248bebc5eaf1e1b46c9b9ceee3a348c8d0341ea08b343da36db9b19ae24,district-budget/docs/budget-hearing-fy22-superintendent-39-s-recommended-budget.pdf,eb54c253,2026-09-17,"The boards page, compared and joined: the bar chart, how to join, the protocols, the repor","a duplicate: the same bytes are held under another key, so this object is a rename the bucket could not take back"
district-budget/docs/final-fy26-town-manager-s-target-budget-approved-3-12-25.pdf,828824b0c060fae9530e5132ba6aeacf227a89fbbd35661caccb226e6174d2b3,district-budget/docs/final-fy26-town-manager-39-s-target-budget-approved-3-12-25.pdf,eb54c253,2026-09-17,"The boards page, compared and joined: the bar chart, how to join, the protocols, the repor","a duplicate: the same bytes are held under another key, so this object is a rename the bucket could not take back"
district-budget/docs/final-fy26-town-manager-s-target-budget.pdf,8e817e83d1fba756a8e4cf9e2706fcd923655c0860e6216f9405dd2541c4d939,district-budget/docs/final-fy26-town-manager-39-s-target-budget.pdf,eb54c253,2026-09-17,"The boards page, compared and joined: the bar chart, how to join, the protocols, the repor","a duplicate: the same bytes are held under another key, so this object is a rename the bucket could not take back"
district-budget/docs/fy24-superintendent-s-recommended-budget-presentation.pdf,ea8723213e010dd4dcbc1dab324c959fa98e37510688c9009d10ecf7a83d0220,district-budget/docs/fy24-superintendent-39-s-recommended-budget-presentation.pdf,eb54c253,2026-09-17,"The boards page, compared and joined: the bar chart, how to join, the protocols, the repor","a duplicate: the same bytes are held under another key, so this object is a rename the bucket could not take back"
district-budget/docs/fy25-superintendent-s-budget-update.pdf,9169e2700def0c1a2b6bebbc55d4e7f737ea5c3a7354657f4d804c017af5dc7c,district-budget/docs/fy25-superintendent-39-s-budget-update.pdf,eb54c253,2026-09-17,"The boards page, compared and joined: the bar chart, how to join, the protocols, the repor","a duplicate: the same bytes are held under another key, so this object is a rename the bucket could not take back"
district-budget/docs/fy26-superintendent-s-proposed-budget-2-26-25-updated-3-12-25.pdf,4e5955892873f386009fef9762adc308b113f129191bc21cbb56a90f072fdfbb,district-budget/docs/fy26-superintendent-39-s-proposed-budget-2-26-25-updated-3-12-25.pdf,eb54c253,2026-09-17,"The boards page, compared and joined: the bar chart, how to join, the protocols, the repor","a duplicate: the same bytes are held under another key, so this object is a rename the bucket could not take back"
district-budget/docs/fy26-superintendent-s-proposed-budget-presentation-1-22-25.pdf,1f7a2f82f926d2239c2efac8476b2d8fe568034a797e7823a5f3a8a3a56a7689,district-budget/docs/fy26-superintendent-39-s-proposed-budget-presentation-1-22-25.pdf,eb54c253,2026-09-17,"The boards page, compared and joined: the bar chart, how to join, the protocols, the repor","a duplicate: the same bytes are held under another key, so this object is a rename the bucket could not take back"
district-budget/docs/fy26-town-manager-s-target-budget-2-5-25-presentation.pdf,f96177a0fe50c33c701b3e435d76c5fca436251e32be405513b291e98b0c4dab,district-budget/docs/fy26-town-manager-39-s-target-budget-2-5-25-presentation.pdf,eb54c253,2026-09-17,"The boards page, compared and joined: the bar chart, how to join, the protocols, the repor","a duplicate: the same bytes are held under another key, so this object is a rename the bucket could not take back"
district-budget/docs/superintendent-s-fy21-budget-identified-needs.pdf,efc86b9004350d5b2f65c89554067abaf7346bd0ffd85977a2ff19d387150c61,district-budget/docs/superintendent-39-s-fy21-budget-identified-needs.pdf,eb54c253,2026-09-17,"The boards page, compared and joined: the bar chart, how to join, the protocols, the repor","a duplicate: the same bytes are held under another key, so this object is a rename the bucket could not take back"
district-budget/docs/updated-town-manager-s-budget-sheets-2-66-2-5-25.xlsx,b80f9cf981cf5a029e6b4c0fb71935fdb603109af2f6c69ae6abd83400ee32a5,district-budget/docs/updated-town-manager-39-s-budget-sheets-2-66-2-5-25.xlsx,eb54c253,2026-09-17,"The boards page, compared and joined: the bar chart, how to join, the protocols, the repor","a duplicate: the same bytes are held under another key, so this object is a rename the bucket could not take back"
