key,label,fy,stage,variant,value,documents_disagree,source
ace general school supplies,ACE General School Supplies,2019,restated,,0,0,fy23-approved-budget.txt
ace general school supplies,ACE General School Supplies,2020,restated,,0,0,fy24-approved-budget.txt
ace general school supplies,ACE General School Supplies,2021,restated,,0,0,fy24-approved-budget.txt
ace general school supplies,ACE General School Supplies,2022,restated,,0,0,fy24-approved-budget.txt
ace general school supplies,ACE General School Supplies,2022,settled,,0,0,fy23-approved-budget.txt
ace general school supplies,ACE General School Supplies,2023,proposed,,5000,0,fy23-approved-budget.txt
ace general school supplies,ACE General School Supplies,2023,settled,,5000,0,fy24-approved-budget.txt
ace general school supplies,ACE General School Supplies,2024,proposed,,6000,0,final-fy25-budget-4-3-24.txt
ace general school supplies,ACE General School Supplies,2025,proposed,,6000,0,fy26-school-dept-approved-budget-3-12-25.txt
ace general school supplies,ACE General School Supplies,2026,proposed,,6000,0,fy26-school-dept-approved-budget-3-12-25.txt
ace general supplies,ACE General Supplies,2023,restated,,1177,0,fy27-budget-projections-as-of-3-16-26-with-restorations.txt
ace general supplies,ACE General Supplies,2024,restated,,2943,0,fy27-budget-projections-as-of-3-16-26-with-restorations.txt
ace general supplies,ACE General Supplies,2025,restated,,3383,0,fy27-budget-projections-as-of-3-16-26-with-restorations.txt
ace general supplies,ACE General Supplies,2025,settled,,6000,0,fy27-budget-projections-as-of-3-16-26-with-restorations.txt
ace general supplies,ACE General Supplies,2026,settled,,12000,0,final-budget-document.txt
ace general supplies,ACE General Supplies,2027,proposed,,6000,0,fy27-budget-projections-as-of-2-24-26-with-restorations.txt
ace general supplies,ACE General Supplies,2027,proposed,Balanced,6000,0,final-budget-document.txt
ace general supplies,ACE General Supplies,2027,proposed,Core Budget,6000,0,final-budget-document.txt
ace general supplies,ACE General Supplies,2027,proposed,Level Service,6000,0,fy27-budget-projections-as-of-3-23-26.txt
ace general supplies,ACE General Supplies,2027,proposed,Restoration,6000,0,final-budget-document.txt
ace special ed para,ACE Special Ed Paraprofessionals,2014,restated,,0,0,fy19-supt-proposed-personnel-budget.txt
ace special ed para,ACE Special Ed Paraprofessionals,2015,restated,,0,0,budget-hearing-fy20-proposed-lps-budget.txt
ace special ed para,ACE Special Ed Paraprofessionals,2016,restated,,0,0,budget-hearing-fy20-proposed-lps-budget.txt
ace special ed para,ACE Special Ed Paraprofessionals,2017,restated,,0,0,fy21-approved-school-budget-6-13-20.txt
ace special ed para,ACE Special Ed Paraprofessionals,2018,restated,,0,0,budget-hearing-fy22-superintendent-39-s-recommended-budget.txt
ace special ed para,ACE Special Ed Paraprofessionals,2018,settled,,0,0,fy19-supt-proposed-personnel-budget.txt
ace special ed para,ACE Special Ed Paraprofessionals,2019,proposed,,49790,0,fy19-supt-proposed-personnel-budget.txt
ace special ed para,ACE Special Ed Paraprofessionals,2019,restated,,42924,0,fy23-approved-budget.txt
ace special ed para,ACE Special Ed Paraprofessionals,2019,settled,,42986,0,budget-hearing-fy20-proposed-lps-budget.txt
ace special ed para,ACE Special Ed Paraprofessionals,2020,proposed,,46512,0,budget-hearing-fy20-proposed-lps-budget.txt
ace special ed para,ACE Special Ed Paraprofessionals,2020,restated,,23951,0,fy24-approved-budget.txt
ace special ed para,ACE Special Ed Paraprofessionals,2020,settled,,23928,0,fy21-approved-school-budget-6-13-20.txt
ace special ed para,ACE Special Ed Paraprofessionals,2021,proposed,,24850,0,fy21-approved-school-budget-6-13-20.txt
ace special ed para,ACE Special Ed Paraprofessionals,2021,restated,,24850,0,fy24-approved-budget.txt
ace special ed para,ACE Special Ed Paraprofessionals,2021,settled,,24850,0,budget-hearing-fy22-superintendent-39-s-recommended-budget.txt
ace special ed para,ACE Special Ed Paraprofessionals,2022,proposed,,25810,0,budget-hearing-fy22-superintendent-39-s-recommended-budget.txt
ace special ed para,ACE Special Ed Paraprofessionals,2022,restated,,31864,0,fy24-approved-budget.txt
ace special ed para,ACE Special Ed Paraprofessionals,2022,settled,,26309,0,fy23-approved-budget.txt
ace special ed para,ACE Special Ed Paraprofessionals,2023,proposed,,26949,0,fy23-approved-budget.txt
ace special ed para,ACE Special Ed Paraprofessionals,2023,restated,,22207,0,fy27-budget-projections-as-of-2-24-26-with-restorations.txt
ace special ed para,ACE Special Ed Paraprofessionals,2023,settled,,26949,0,fy24-approved-budget.txt
ace special ed para,ACE Special Ed Paraprofessionals,2024,proposed,,30271,0,final-fy25-budget-4-3-24.txt
ace special ed para,ACE Special Ed Paraprofessionals,2024,restated,,-157886,1,fy27-budget-projections-as-of-2-24-26-with-restorations.txt
ace special ed para,ACE Special Ed Paraprofessionals,2025,proposed,,66275,1,fy26-school-dept-approved-budget-3-12-25.txt
ace special ed para,ACE Special Ed Paraprofessionals,2025,restated,,66663,0,fy27-budget-projections-as-of-2-24-26-with-restorations.txt
ace special ed para,ACE Special Ed Paraprofessionals,2026,proposed,,43742,0,fy26-school-dept-approved-budget-3-12-25.txt
ace special ed para,ACE Special Ed Paraprofessionals,2026,settled,,43742,0,final-budget-document.txt
ace special ed para,ACE Special Ed Paraprofessionals,2027,proposed,,38074,0,fy27-budget-projections-as-of-2-24-26-with-restorations.txt
ace special ed para,ACE Special Ed Paraprofessionals,2027,proposed,Balanced,38074,0,final-budget-document.txt
ace special ed para,ACE Special Ed Paraprofessionals,2027,proposed,Core Budget,38074,0,final-budget-document.txt
ace special ed para,ACE Special Ed Paraprofessionals,2027,proposed,Level Service,38074,0,fy27-budget-projections-as-of-3-23-26.txt
ace special ed para,ACE Special Ed Paraprofessionals,2027,proposed,Restoration,38074,0,final-budget-document.txt
ace special ed resource rm teacher,ACE Specil Ed Resource Rm Tchr,2014,restated,,0,0,fy19-supt-proposed-personnel-budget.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Tchr,2015,restated,,0,0,budget-hearing-fy20-proposed-lps-budget.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Tchr,2016,restated,,0,0,budget-hearing-fy20-proposed-lps-budget.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Tchr,2017,restated,,0,0,fy21-approved-school-budget-6-13-20.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Teacher,2018,restated,,0,0,budget-hearing-fy22-superintendent-39-s-recommended-budget.txt
ace special ed resource rm teacher,ACE Specil Ed Resource Rm Tchr,2018,settled,,0,0,fy19-supt-proposed-personnel-budget.txt
ace special ed resource rm teacher,ACE Specil Ed Resource Rm Tchr,2019,proposed,,124316,1,fy19-supt-proposed-personnel-budget.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Teacher,2019,restated,,48446,0,fy23-approved-budget.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Tchr,2019,settled,,48446,0,budget-hearing-fy20-proposed-lps-budget.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Tchr,2020,proposed,,51191,0,budget-hearing-fy20-proposed-lps-budget.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Teacher,2020,restated,,51191,0,fy24-approved-budget.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Tchr,2020,settled,,51191,0,fy21-approved-school-budget-6-13-20.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Tchr,2021,proposed,,57649,0,fy21-approved-school-budget-6-13-20.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Teacher,2021,restated,,57649,0,fy24-approved-budget.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Teacher,2021,settled,,57649,0,budget-hearing-fy22-superintendent-39-s-recommended-budget.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Teacher,2022,proposed,,62485,0,budget-hearing-fy22-superintendent-39-s-recommended-budget.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Teacher,2022,restated,,31049,0,fy24-approved-budget.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Teacher,2022,settled,,70745,0,fy23-approved-budget.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Teacher,2023,proposed,,75499,0,fy23-approved-budget.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Teacher,2023,restated,,85578,0,fy27-budget-projections-as-of-2-24-26-with-restorations.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Teacher,2023,settled,,85578,0,fy24-approved-budget.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Teacher,2024,proposed,,89494,0,final-fy25-budget-4-3-24.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Teacher,2024,restated,,86934,0,fy27-budget-projections-as-of-2-24-26-with-restorations.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Teacher,2025,proposed,,87184,0,fy26-school-dept-approved-budget-3-12-25.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Teacher,2025,restated,,89364,0,fy27-budget-projections-as-of-2-24-26-with-restorations.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Teacher,2026,proposed,,95659,0,fy26-school-dept-approved-budget-3-12-25.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Teacher,2026,settled,,95659,0,final-budget-document.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Teacher,2027,proposed,,99007,0,fy27-budget-projections-as-of-2-24-26-with-restorations.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Teacher,2027,proposed,Balanced,99007,0,final-budget-document.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Teacher,2027,proposed,Core Budget,99007,0,final-budget-document.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Teacher,2027,proposed,Level Service,99007,0,fy27-budget-projections-as-of-3-23-26.txt
ace special ed resource rm teacher,ACE Special Ed Resource Rm Teacher,2027,proposed,Restoration,99007,0,final-budget-document.txt
additional,additional,2016,settled,,1,0,fy19-proposed-technology-budget.txt
additional,additional,2017,settled,,1,0,fy19-proposed-technology-budget.txt
additional,additional,2018,settled,,1,0,fy19-proposed-technology-budget.txt
additional,additional,2019,proposed,,9,0,fy19-proposed-technology-budget.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2014,restated,,0,0,fy19-supt-proposed-expense-budget.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2015,restated,,0,0,budget-hearing-fy20-proposed-lps-budget.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2016,restated,,803,0,budget-hearing-fy20-proposed-lps-budget.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2017,restated,,1084,0,fy21-approved-school-budget-6-13-20.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2018,restated,,1300,0,budget-hearing-fy22-superintendent-39-s-recommended-budget.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2018,settled,,1300,0,fy19-supt-proposed-expense-budget.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2019,proposed,,1300,1,fy19-supt-proposed-expense-budget.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2019,restated,,846,0,fy23-approved-budget.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2019,settled,,1600,0,budget-hearing-fy20-proposed-lps-budget.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2020,proposed,,1600,0,budget-hearing-fy20-proposed-lps-budget.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2020,restated,,1549,0,fy24-approved-budget.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2020,settled,,1600,0,fy21-approved-school-budget-6-13-20.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2021,proposed,,1600,0,fy21-approved-school-budget-6-13-20.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2021,restated,,1600,0,fy24-approved-budget.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2021,settled,,1600,0,budget-hearing-fy22-superintendent-39-s-recommended-budget.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2022,proposed,,1600,0,budget-hearing-fy22-superintendent-39-s-recommended-budget.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2022,restated,,1401,0,fy24-approved-budget.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2022,settled,,1600,0,fy23-approved-budget.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2023,proposed,,1600,0,fy23-approved-budget.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2023,restated,,1534,0,fy27-budget-projections-as-of-3-16-26-with-restorations.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2023,settled,,1600,0,fy24-approved-budget.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2024,proposed,,1600,0,final-fy25-budget-4-3-24.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2024,restated,,1156,0,fy27-budget-projections-as-of-3-16-26-with-restorations.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2025,proposed,,1600,0,fy26-school-dept-approved-budget-3-12-25.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2025,restated,,869,0,fy27-budget-projections-as-of-3-16-26-with-restorations.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2025,settled,,1600,0,fy27-budget-projections-as-of-3-16-26-with-restorations.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2026,proposed,,1600,0,fy26-school-dept-approved-budget-3-12-25.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2026,settled,,1600,0,final-budget-document.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2027,proposed,,1600,0,fy27-budget-projections-as-of-2-24-26-with-restorations.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2027,proposed,Balanced,1600,0,final-budget-document.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2027,proposed,Core Budget,1600,0,final-budget-document.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2027,proposed,Level Service,1600,0,fy27-budget-projections-as-of-3-23-26.txt
admin contr d technology support,Admin Contr'd Technology Support (TSA),2027,proposed,Restoration,1600,0,final-budget-document.txt
admin tech contracted services,Admin Tech Contracted Services,2014,restated,,32746,0,fy19-supt-proposed-expense-budget.txt
admin tech contracted services,Admin Tech Contracted Services,2015,restated,,35797,0,budget-hearing-fy20-proposed-lps-budget.txt
admin tech contracted services,Admin Tech Contracted Services,2016,restated,,43693,0,budget-hearing-fy20-proposed-lps-budget.txt
admin tech contracted services,Admin Tech Contracted Services,2016,settled,,43693,0,fy19-proposed-technology-budget.txt
admin tech contracted services,Admin Tech Contracted Services,2017,proposed,,48391,0,fy18-non-personnel-supt-recommended-budget-revised-6-6-17.txt
admin tech contracted services,Admin Tech Contracted Services,2017,restated,,44006,0,fy21-approved-school-budget-6-13-20.txt
admin tech contracted services,Admin Tech Contracted Services,2017,settled,,48391,0,fy19-proposed-technology-budget.txt
admin tech contracted services,Admin Tech Contracted Services,2018,proposed,,48829,0,fy18-non-personnel-supt-recommended-budget-revised-6-6-17.txt
admin tech contracted services,Admin Tech Contracted Services,2018,restated,,43331,0,budget-hearing-fy22-superintendent-39-s-recommended-budget.txt
admin tech contracted services,Admin Tech Contracted Services,2018,settled,,48829,1,fy19-supt-proposed-expense-budget.txt
admin tech contracted services,Admin Tech Contracted Services,2019,proposed,,50569,1,fy19-supt-proposed-expense-budget.txt
admin tech contracted services,Admin Tech Contracted Services,2019,restated,,53849,0,fy23-approved-budget.txt
admin tech contracted services,Admin Tech Contracted Services,2019,settled,,56244,0,budget-hearing-fy20-proposed-lps-budget.txt
admin tech contracted services,Admin Tech Contracted Services,2020,proposed,,49919,0,budget-hearing-fy20-proposed-lps-budget.txt
admin tech contracted services,Admin Tech Contracted Services,2020,restated,,48761,0,fy24-approved-budget.txt
admin tech contracted services,Admin Tech Contracted Services,2020,settled,,49919,0,fy21-approved-school-budget-6-13-20.txt
admin tech contracted services,Admin Tech Contracted Services,2021,proposed,,55418,0,fy21-approved-school-budget-6-13-20.txt
admin tech contracted services,Admin Tech Contracted Services,2021,restated,,55418,0,fy24-approved-budget.txt
admin tech contracted services,Admin Tech Contracted Services,2021,settled,,55418,0,budget-hearing-fy22-superintendent-39-s-recommended-budget.txt
admin tech contracted services,Admin Tech Contracted Services,2022,proposed,,83530,0,budget-hearing-fy22-superintendent-39-s-recommended-budget.txt
admin tech contracted services,Admin Tech Contracted Services,2022,restated,,153129,0,fy24-approved-budget.txt
admin tech contracted services,Admin Tech Contracted Services,2022,settled,,83530,0,fy23-approved-budget.txt
admin tech contracted services,Admin Tech Contracted Services,2023,proposed,,202663,0,fy23-approved-budget.txt
admin tech contracted services,Admin Tech Contracted Services,2023,restated,,241844,0,fy27-budget-projections-as-of-3-16-26-with-restorations.txt
admin tech contracted services,Admin Tech Contracted Services,2023,settled,,202663,0,fy24-approved-budget.txt
admin tech contracted services,Admin Tech Contracted Services,2024,proposed,,186873,0,final-fy25-budget-4-3-24.txt
admin tech contracted services,Admin Tech Contracted Services,2024,restated,,174977,0,fy27-budget-projections-as-of-3-16-26-with-restorations.txt
admin tech contracted services,Admin Tech Contracted Services,2025,proposed,,190327,1,fy26-school-dept-approved-budget-3-12-25.txt
admin tech contracted services,Admin Tech Contracted Services,2025,restated,,143851,0,fy27-budget-projections-as-of-3-16-26-with-restorations.txt
admin tech contracted services,Admin Tech Contracted Services,2025,settled,,190327,0,fy27-budget-projections-as-of-3-16-26-with-restorations.txt
admin tech contracted services,Admin Tech Contracted Services,2026,proposed,,156950,0,fy26-school-dept-approved-budget-3-12-25.txt
admin tech contracted services,Admin Tech Contracted Services,2026,settled,,156950,0,final-budget-document.txt
admin tech contracted services,Admin Tech Contracted Services,2027,proposed,,157256,1,fy27-budget-projections-as-of-2-24-26-with-restorations.txt
admin tech contracted services,Admin Tech Contracted Services,2027,proposed,Balanced,154981,0,final-budget-document.txt
admin tech contracted services,Admin Tech Contracted Services,2027,proposed,Core Budget,154981,0,final-budget-document.txt
admin tech contracted services,Admin Tech Contracted Services,2027,proposed,Level Service,154981,0,fy27-budget-projections-as-of-3-23-26.txt
admin tech contracted services,Admin Tech Contracted Services,2027,proposed,Restoration,157256,0,final-budget-document.txt
admin tech general supplies,Admin Tech General Supplies,2014,restated,,19463,0,fy19-supt-proposed-expense-budget.txt
admin tech general supplies,Admin Tech General Supplies,2015,restated,,24166,0,budget-hearing-fy20-proposed-lps-budget.txt
admin tech general supplies,Admin Tech General Supplies,2016,restated,,21421,0,budget-hearing-fy20-proposed-lps-budget.txt
admin tech general supplies,Admin Tech General Supplies,2016,settled,,21421,0,fy19-proposed-technology-budget.txt
admin tech general supplies,Admin Tech General Supplies,2017,proposed,,12000,0,fy18-non-personnel-supt-recommended-budget-revised-6-6-17.txt
admin tech general supplies,Admin Tech General Supplies,2017,restated,,15335,0,fy21-approved-school-budget-6-13-20.txt
admin tech general supplies,Admin Tech General Supplies,2017,settled,,12000,0,fy19-proposed-technology-budget.txt
admin tech general supplies,Admin Tech General Supplies,2018,proposed,,12000,0,fy18-non-personnel-supt-recommended-budget-revised-6-6-17.txt
admin tech general supplies,Admin Tech General Supplies,2018,restated,,14770,0,budget-hearing-fy22-superintendent-39-s-recommended-budget.txt
admin tech general supplies,Admin Tech General Supplies,2018,settled,,12000,0,fy19-supt-proposed-expense-budget.txt
admin tech general supplies,Admin Tech General Supplies,2019,proposed,,12000,0,fy19-supt-proposed-expense-budget.txt
admin tech general supplies,Admin Tech General Supplies,2019,restated,,11099,0,fy23-approved-budget.txt
admin tech general supplies,Admin Tech General Supplies,2019,settled,,12000,0,budget-hearing-fy20-proposed-lps-budget.txt
admin tech general supplies,Admin Tech General Supplies,2020,proposed,,12000,0,budget-hearing-fy20-proposed-lps-budget.txt
admin tech general supplies,Admin Tech General Supplies,2020,restated,,12291,0,fy24-approved-budget.txt
admin tech general supplies,Admin Tech General Supplies,2020,settled,,12000,0,fy21-approved-school-budget-6-13-20.txt
admin tech general supplies,Admin Tech General Supplies,2021,proposed,,12500,0,fy21-approved-school-budget-6-13-20.txt
admin tech general supplies,Admin Tech General Supplies,2021,restated,,12500,0,fy24-approved-budget.txt
admin tech general supplies,Admin Tech General Supplies,2021,settled,,12500,0,budget-hearing-fy22-superintendent-39-s-recommended-budget.txt
admin tech general supplies,Admin Tech General Supplies,2022,proposed,,7500,0,budget-hearing-fy22-superintendent-39-s-recommended-budget.txt
admin tech general supplies,Admin Tech General Supplies,2022,restated,,14682,0,fy24-approved-budget.txt
admin tech general supplies,Admin Tech General Supplies,2022,settled,,7500,0,fy23-approved-budget.txt
admin tech general supplies,Admin Tech General Supplies,2023,proposed,,12000,0,fy23-approved-budget.txt
admin tech general supplies,Admin Tech General Supplies,2023,settled,,14800,0,fy24-approved-budget.txt
admin tech general supplies,Admin Tech General Supplies,2024,proposed,,6000,0,final-fy25-budget-4-3-24.txt
admin tech general supplies,Admin Tech General Supplies,2025,proposed,,6000,0,fy26-school-dept-approved-budget-3-12-25.txt
admin tech general supplies,Admin Tech General Supplies,2026,proposed,,3000,0,fy26-school-dept-approved-budget-3-12-25.txt
admin tech general supplies,Admin Tech General Supplies,2026,settled,,3000,0,final-budget-document.txt
admin tech general supplies,Admin Tech General Supplies,2027,proposed,,9500,0,fy27-budget-projections-as-of-2-16-26-with-restorations.txt
admin tech general supplies,Admin Tech General Supplies,2027,proposed,Balanced,0,0,final-budget-document.txt
admin tech general supplies,Admin Tech General Supplies,2027,proposed,Core Budget,0,0,final-budget-document.txt
admin tech general supplies,Admin Tech General Supplies,2027,proposed,Level Service,0,0,fy27-budget-projections-as-of-3-23-26.txt
admin tech general supplies,Admin Tech General Supplies,2027,proposed,Restoration,3000,0,final-budget-document.txt
athletic coaches,Athletic Coaches,2014,restated,,114636,0,fy19-supt-proposed-personnel-budget.txt
athletic coaches,Athletic Coaches,2015,restated,,130661,0,budget-hearing-fy20-proposed-lps-budget.txt
athletic coaches,Athletic Coaches,2016,restated,,120646,0,budget-hearing-fy20-proposed-lps-budget.txt
athletic coaches,Athletic Coaches,2017,restated,,130020,0,fy21-approved-school-budget-6-13-20.txt
athletic coaches,Athletic Coaches,2018,restated,,123296,0,budget-hearing-fy22-superintendent-39-s-recommended-budget.txt
athletic coaches,Athletic Coaches,2018,settled,,163146,0,fy19-supt-proposed-personnel-budget.txt
athletic coaches,Athletic Coaches,2019,proposed,,150636,1,fy19-supt-proposed-personnel-budget.txt
athletic coaches,Athletic Coaches,2019,restated,,135259,0,fy23-approved-budget.txt
athletic coaches,Athletic Coaches,2019,settled,,135636,0,budget-hearing-fy20-proposed-lps-budget.txt
athletic coaches,Athletic Coaches,2020,proposed,,141176,1,budget-hearing-fy20-proposed-lps-budget.txt
athletic coaches,Athletic Coaches,2020,restated,,91601,0,fy24-approved-budget.txt
athletic coaches,Athletic Coaches,2020,settled,,133519,0,fy21-approved-school-budget-6-13-20.txt
athletic coaches,Athletic Coaches,2021,proposed,,139492,0,fy21-approved-school-budget-6-13-20.txt
athletic coaches,Athletic Coaches,2021,restated,,139492,0,fy24-approved-budget.txt
athletic coaches,Athletic Coaches,2021,settled,,139492,0,budget-hearing-fy22-superintendent-39-s-recommended-budget.txt
athletic coaches,Athletic Coaches,2022,proposed,,139492,0,budget-hearing-fy22-superintendent-39-s-recommended-budget.txt
athletic coaches,Athletic Coaches,2022,restated,,145991,0,fy24-approved-budget.txt
athletic coaches,Athletic Coaches,2022,settled,,139492,0,fy23-approved-budget.txt
athletic coaches,Athletic Coaches,2023,proposed,,98417,0,fy23-approved-budget.txt
athletic coaches,Athletic Coaches,2023,restated,,100351,0,fy27-budget-projections-as-of-2-24-26-with-restorations.txt
athletic coaches,Athletic Coaches,2023,settled,,98417,0,fy24-approved-budget.txt
athletic coaches,Athletic Coaches,2024,proposed,,0,0,final-fy25-budget-4-3-24.txt
athletic coaches,Athletic Coaches,2024,restated,,46733,0,fy27-budget-projections-as-of-2-24-26-with-restorations.txt
