document,doc_year,data_rows,rows_with_layout,rows_short_of_columns,figures,header_line,header_years,header_kinds,doc_date,covers,reason
3-12-25-town-manager-39-s-budget.txt,2025,356,355,30,325,2,FY25 FY26 FY26 FY26 FY26 %,Budgeted Level Adj Needs Based TM 030525 TM 031225 increase,2025-03-12,FY2025 FY2026,
additional-town-revenue-spending-plan.txt,,31,0,0,0,,Savings FY27,,,FY2027,"single-column table: line 8 states one fiscal year, 'Savings FY27', and this reader requires two"
athletic-program-costs-by-sport.txt,2024,23,0,0,0,,FY24,,,FY2024,"single-column table: line 3 states one fiscal year, 'FY24', and this reader requires two"
balanced-budget-slides-3-23-26.txt,,10,0,0,0,,,,2026-03-23,,no fiscal year stated anywhere: 10 row(s) of data
budget-addendum-multi-scenario-financial-analysis.txt,,29,0,0,0,,,,2026-03-13,,no fiscal year stated anywhere: 29 row(s) of data
budget-hearing-fy20-proposed-lps-budget.txt,2020,316,315,33,1692,441,FY15 FY16 FY17 FY18 FY19 FY20,"DESCRIPTION, EXPENSES Actual Actual Actual Actual Budgeted Adj. Proposed",2019-04-03,FY2015 FY2016 FY2017 FY2018 FY2019 FY2020,
budget-hearing-fy22-superintendent-39-s-recommended-budget.txt,2022,301,301,18,1415,382,FY18 FY19 FY20 FY21 FY22 %,"DESCRIPTION, EXPENSES Actual Actual Actual Budgeted Proposed increase",2021-03-17,FY2018 FY2019 FY2020 FY2021 FY2022,
budget-hearing-superintendent-fy22-recommended-budget.txt,2022,75,26,24,0,153,FY18 FY19 FY20 FY21,"Chapter 70 Budget $          7,272,505 $         7,494,174 $          7,739,118 $          7,773,938",2021-03-03,FY2018 FY2019 FY2020 FY2021 FY2022 FY2023,"REFUSED as not a budget table: 2 figures with a median of 70 and a total of 71 -- an enrolment or class-size table, not dollars"
budget-message-for-families-2-27-26.txt,,8,0,0,0,,,,2026-02-27,,no fiscal year stated anywhere: 8 row(s) of data
community-forums-scheduled-on-school-department-budget.txt,2020,4,0,0,0,,"This year the School Committee set a goal for themselves to approach budget development with a focus on allocating resources to support the highest impact on teaching and learning. In previous years, each principal and department head presented their budget requests to the School Committee prior to the presentation of the Superintendent’s Proposed Budget.  This year, the principals and department heads worked collaboratively as a Leadership Team in the development of the Superintendent’s Proposed Budget.  The Leadership Team was in attendance as I presented the FY20 Superintendent’s Proposed Budget to the School Committee on December 19, 2018.  We also presented the FY20 budget to the faculty of LMHS on January 8, 2019 and to the THES and Primary faculty on January 15, 2019.",,2018-12-19,FY2020,"header wrapped: line 5 states 2 fiscal years, 'This year the School Committee set a goal for themselves to approach budget development with a focus on allocating resources to support the highest impact on teaching and learning. In previous years, each principal and department head presented their budget requests to the School Committee prior to the presentation of the Superintendent’s Proposed Budget.  This year, the principals and department heads worked collaboratively as a Leadership Team in the development of the Superintendent’s Proposed Budget.  The Leadership Team was in attendance as I presented the FY20 Superintendent’s Proposed Budget to the School Committee on December 19, 2018.  We also presented the FY20 budget to the faculty of LMHS on January 8, 2019 and to the THES and Primary faculty on January 15, 2019.', and the column kinds run past the two lines below it -- proposed / budget / Budget"
faq-fy25-budget.txt,,22,0,0,0,,The FY24 budget is posted on the district website.  The FY25 budget spreadsheets,,,FY2024 FY2025,"header wrapped: line 56 states 2 fiscal years, 'The FY24 budget is posted on the district website.  The FY25 budget spreadsheets', and the column kinds run past the two lines below it -- proposed / budget / recommended / budget"
final-budget-document.txt,2027,269,268,17,1004,5,FY26  FY27  FY27  FY27,DISTRICT EXPENSES FINAL BUDGET | Proposed | Proposed | Proposed,2026-03-25,FY2026 FY2027,
