block,item,scope,status,figure,fte,date,who,why,evidence,note
meta,live,,,,,,,yes,,opens 2026-09-04; the builder reads the record from that date and proposes rows
meta,summary,,,,,,,"FY28 has just opened. Nothing has a number yet: the schools’ first figure usually comes in late January, the Town Manager’s target in early February, the cut list in March, Town Meeting in May. What is on the record so far is below; what is not yet is marked.",,
deficit,The schools’ first number,school,expected,,,2027-01-22,the superintendent,usually late January — FY27: 21 Jan; FY26: 22 Jan,,
deficit,The Town Manager’s target for the schools,school,expected,,,2027-02-05,the town manager,"usually early February, with the preliminary budget the Charter requires by mid-February — FY27: 19 Feb; FY26: 5 Feb",,
deficit,"The gap, corrected",school,expected,,,2027-03-04,the district,"it moves as grants, offsets and mistakes are found — FY27: 4 Mar; FY26: 12 Mar",,
proposals,The scenarios,school,expected,,,2027-02-25,the superintendent,"level service, core, balanced — the names change — usually late February; FY27: 25 Feb; FY26: 5 and 26 Feb",,
cuts,The cut list,school,expected,,,2027-03-18,School Committee vote,usually mid-March — FY27: 18 Mar; FY26: 12 Mar,,
cuts,The town’s cuts,town,expected,,,2027-03-31,the town manager,with the balanced budget — FY27: 31 Mar,,
override,Whether an override is filed,both,expected,,,2027-03-10,Select Board or a citizens’ petition,"FY27: the Tri-Board on 10 Mar, the question placed 31 Mar; FY26: a petition on the warrant by 3 Apr",,
override,Finance Committee recommendations,both,expected,,,2027-04-06,Finance Committee votes,usually the first week of April,,
final,Annual Town Meeting,both,expected,,,2027-05-01,Annual Town Meeting,the first Saturday in May in recent years — FY27: 2 May; FY26: 3 May,,
final,Annual Town Election,both,expected,,,2027-05-15,Annual Town Election,two weeks after Town Meeting — FY27: 16 May; FY26: 17 May,,
deficit,A deficit remains,school,path,,,2026-09-09,the chair,"even after the $418,000 the Special Town Meeting approved — “does not erase the deficit”",school-committee/2026-09-09@70,the season’s first statement of a gap; no figure yet
override,A member intends to seek more at Town Meeting,school,step,,,2026-09-09,a member,“personally intends to go for more funding at town meeting because the schools need more”,school-committee/2026-09-09@7252,
override,Third override in a row to fail — the chair traces the shortfall to it,town,step,,,2026-09-01,the chair,the current budget shortfall process traces back to the override failing,select-board/2026-09-01@3185,
late,Free cash may not be certified in time for November,town,move,,,2026-09-09,the chair,the November special town meeting article that would use it may have to wait,school-committee/2026-09-09@7724,
